Title,Year,Abstract
Is parenting style a context for smoking-specific parenting practices?,2007,"This  examined whether global   can be regarded as a context in which smoking-specific  practices relate to adolescent smoking cognitions and behaviors. Data were gathered through self-administered questionnaires from 482 adolescents aged 12-19 years, who participated in the Study of Medical Information and Life in Eindhoven (SMILE). We assessed   dimensions (support, strict control, psychological control), smoking-specific  practices (- communication about smoking, anti-smoking house rules, availability of tobacco products, non-smoking agreement), smoking-related cognitions according to the I-Change Model (attitude, social norm, self-efficacy, intention), and smoking behavior. Structural equation models were computed and compared for adolescents in different  climates. Results showed that communication and availability were related to adolescents' attitude towards smoking. Availability was additionally associated with reduced self-efficacy to refrain from smoking. Attitude and self-efficacy were subsequently related to intention to smoke, which in turn was related to smoking behavior. No direct relations were found between anti-smoking  practices and adolescent smoking behavior. These  were not dependent on the  climate.   thus did not serve as a context for smoking-specific  practices, indicating that these facets of  operate independently, and that anti-smoking  practices may be effective regardless of  climate. (C) 2006 Elsevier Ireland Ltd. All rights reserved."
Parenting styles and bullying involvement,2014,"The   was conducted to explore the relationship between bullying and   in an incidental sample of 626 high school students (49.7% girls). The information was collected by means of a self-report questionnaire that contained two instruments: European Bullying Intervention Project Questionnaire and Scale for the assessment of the   of mothers and fathers of adolescents. The  show statistically significant differences in the perception of   between the students involved and not involved in bullying and between the different kinds of involvement. Different dimensions of   are  categorized as being risk or protective factors of bullying involvement. In agreement with the previous , we have specifically found that perception of   (especially behavioural control and affection and communication) is significantly related to bullying involvement, especially regarding the role of aggressor."
Parenting Styles and Adjustment in Gifted Children,2017,"The   examined the relationship between   and the psychosocial adjustment of 48  aged 7 to 11 years, each of whom had been identified as gifted on the basis of a score of 130 or above on the Wechsler Intelligence Scale for Children-Fourth Edition.   and  psychosocial adjustment were measured using self-report questionnaires. Nineteen of the 48 gifted  in the sample (39.6%) were described by their s as having peer social problems, descriptions that were not consistent with  obtained from the  and their teachers. Mothers  reported more  conduct problems than did the teachers. No associations were found between   and social problems with peers. Although the findings supported existing  on fathers'  , some of the relationships between mothers'   and gifted  outcomes were not consistent with previous studies on  ."
Parenting Styles and Home Obesogenic Environments,2012," behaviors are known to have a major impact on hood obesity but it has proven difficult to isolate the specific mechanism of influence. The   uses Baumrind's  typologies (authoritative, authoritarian, and permissive) to examine associations between   and  practices associated with hood obesity. Data were collected from a diverse sample of  (n = 182, ages 7-10) in an urban school district in the United States.  behaviors were assessed with the  Styles and Dimension Questionnaire (PSDQ), a 58-item survey that categorizes  practices into three : authoritative, authoritarian, and permissive.  perceptions of the home obesogenic environment were assessed with the Family Nutrition and Physical Activity (FNPA) instrument, a simple 10 item instrument that has been shown in previous  to predict risk for overweight. Cluster analyses were used to identify patterns in the PSDQ data and these clusters were related to FNPA scores and measured BMI values in  (using ANCOVA analyses that controlled for  income and education) to examine the impact of   on risk of overweight/obesity. The FNPA score was positively (and significantly) associated with scores on the authoritative  scale (r = 0.29) but negatively (and significantly) associated with scores on the authoritarian scale (r = -0.22) and permissive scale (r = -0.20). Permissive  was significantly associated with BMIz score but this is the only dimension that exhibited a relationship with BMI. A three-cluster solution explained 40.5% of the total variance and clusters were distinguishable by low and high z-scores on different PSDQ sub-dimensions. A cluster characterized as Permissive/Authoritarian (Cluster 2) had significantly lower FNPA scores (more obesogenic) than clusters characterized as Authoritative (Cluster 1) or Authoritarian/Authoritative (Cluster 3) after controlling for family income and  education. No direct effects of cluster were evident on the BMI outcomes but the patterns were consistent with the FNPA outcomes. The  suggest that a permissive   is associated with more obesogenic environments while an authoritative   is associated with less obesogenic environments."
Ownership Versus Partnership Parenting: Parenting Styles Within the Homeschooling Movement,,"Scholars of the family agree on four main  , varying along two axes: responsiveness and control. al involvement and  autonomy fall under the control axis and are assumed to have an inverse relationship; where al involvement is high,  autonomy is assumed to be low, and vice versa. Drawing on 22 in-depth interviews and participant observation at five homeschooling conferences, we examine the dominant  philosophies and practices of conservative Christian homeschoolers (which we call ownership ) and secular unschoolers (which we call partnership ). We demonstrate that the inverse relationship between al involvement and  autonomy is not  in partnership , which is marked by both high al involvement and high  autonomy. Unschooling thus res an empirical case against the theoretical conflation of al involvement and  autonomy; a new expanded typology is thus posited that divides the control axis into two distinct axes."
Risky Play and Parenting Styles,2016,"This  investigated the predictive power of   towards  and demographic characteristics on 's risky play. 890 s of 4-6 year-old  enrolled in public preschools and kindergartens in Denizli, Turkey completed the questionnaires related to demographic characteristics of themselves and their , their thoughts about risky play and  attitudes towards . Results indicated that   and gender, education level and number of  are significant predictors of s' thoughts about practices and benefits of risky play. In particular, overprotective and permissive  predicted s' practices of risky play while overprotective, permissive and democratic   influenced their thoughts about the benefits of this play."
Perceived parenting styles and primary attachment styles of single and  living with both parents,2021,"Objective: To investigate the association between perceived primary   and attachment  between single-  and  living with both s. Methods: The correlational  was conducted at the Lahore Garrison University, Lahore, Pakistan, from September 2017 to March 2018, and comprised an equal number of  from single- families and those living with both the s. Data was collected using the al authority questionnaire and the Urdu version of the inventory of al and peer attachment. Data was analysed using SPSS 21. Results: Of the 200 , 100(50%) were in each of the two groups, and both the groups had 50(50%) girls and boys each. The overall mean age of the sample was 14.56 +/- 3.03 years (range: 11-18 years). There was a significant negative correlation between permissive   with mother's communication (p<0.05); authoritarian   had negative correlation with al communication and trust(p<0.001). Authoritative  had significant positive relationship with trust (p<0.001), and communication with s (p<0.001), and there was negative relationship between authoritative  with feeling alienated from s (p<0.01). Single-  perceived their s as authoritarian (p<0.001) and had more alienated attachment with s (p<0.001), whereas  living with both the s had more trust (p<0.001) and had better communication with their s (p<0.001). Conclusion: It is important to understand the role of s and different   in building up strong - attachment."
Eating disorder symptoms and parenting styles,2010,"This  aimed to examine associations between symptoms of eating disorders and  , in a non-clinical sample. One hundred and five mothers completed self-report measures of eating disorder symptoms and  . Higher levels of eating disorder symptoms were associated with more authoritarian and permissive  . Authoritative  was not significantly related to eating disorder symptoms. The findings demonstrate that eating disorder symptoms in non-clinical individuals are related to less adaptive  . These findings have potential implications for clinicians working with mothers with eating disorders. (C) 2009 Elsevier Ltd. All rights reserved."
Parenting style and adolescent smoking,2002,"To investigate whether   is an independent risk factor of smoking initiation and experimentation among adolescents, and whether there is a relationship between   and readiness to quit, or nicotine dependence among smokers. Methods: The 84-item Health and Smoking Questionnaire, which assesses demographics, smoking status and smoking history, perceptions of risk and risk reduction, risk factors for tobacco use, and  , was administered to 816 adolescents in grades 7 to 12 (mean age, 15.1 years) of whom 22.6% (n = 182) were smokers.   was measured by the brief, nonretrospective version of the Family of Origin Scale (FOS). Higher scores on the FOS indicated more positive perceived   with high levels of intimacy and autonomy, characteristics of healthy - relationships. Data were analyzed using a model-building approach to logistic regression with demographic and other psychosocial variables in the first two steps, and with   as the last step. Results: Results from two logistic regression models indicate that although   is not a significant risk factor for smoking experimentation [odds ratio (OR) = .998; confidence interval (CI) = .977-1.019; p = .820], it is a significant independent risk factor for smoking initiation (OR = .950; CI = .930-.970; p = .000). Smokers who were more ready to quit had higher   scores than those who were not ready to quit, and smokers who had made a serious quit attempt (an indicator of nicotine addiction) had higher   scores than those who had not made a quit attempt. Moreover, nonsmokers who reported they would smoke a cigarette if their best friend offered had significantly lower   scores than those who reported they would not smoke a cigarette. Conclusions: Additional  on   and its impact on adolescent smoking with a more economically and ethnically diverse sample is warranted. If future  confirms the strength of the relationship between   and adolescent smoking, teaching positive , including facilitating intimate yet autonomous relationships, may be considered as part of smoking prevention and cessation programs. (C) Society for Adolescent Medicine, 2002."
Parenting style and adolescent fruit consumption,2003,"The importance of the social environment for dietary behaviour has been highlighted in the past decade. A type of environmental influence that has received increasing  attention in recent years is the influence that s can have on their 's dietary behaviour through food-related  practices. Much of the work done so far, however, has reported inconsistent findings and poorly understood mechanisms of influence. The   aimed to explore the possible environmental influence of general   on adolescent food choice patterns. Data were collected at schools (N = 643; mean age 16.5 years), using self-administered questionnaires on  . fruit intake behaviour and fruit-specific cognitions. Consistent and theoretically predictable differences were found between adolescents who described their s as authoritative, authoritarian, indulgent or neglectful. Fruit consumption and fruit-specific cognitions were most favourable among adolescents who were being raised with an authoritative  . Children of s with indulgent   consumed more fruit than adolescents from authoritarian or neglectful homes. Consequences of these  for the interpretation of earlier studies on the influence of  practices are discussed, and a  model is proposed for future studies of al influences on adolescent dietary behaviours. (C) 2003 Elsevier Ltd. All rights reserved."
PARENTING STYLE AMONG CHILDREN WITH DEVELOPMENTAL DELAY,2020," is a factor that is directly related to  development. This  aims to explore the   among  with developmental delay. This qualitative  nested in a Child Growth and Development Cohort Study that was conducted in Bogor in October 2019. Six  aged 2 to 6 years with developmental delay were recruited in this . Mother of these  were purposely selected as informants and participated in individual interview about  Style of Baurimnd. The mothers as the main caregiver of their  applied control and warmth . The mothers did not know if their  suffered from developmental delay and they had never been informed about this problem by health workers. Economic factors were the reason why mother did not check up their  development. Family had an important role to prevent developmental delay of their . s did not realize that their  had developmental delay, thus there was no specific   applied to cope with this problem. Early detection and early developmental stimulation for  are necessary. It is important to develop indirect counselling media, both electronic and printed media, for mothers of  with developmental delay; hence they can perform early detection and early developmental stimulation by themselves."
"Parenting styles, cyberaggression, and cybervictimization among adolescents",2019,"Social concern about the negative effects of cyberbullying in  and adolescents' psychosocial development is currently increasing. The importance of the family environment and factors in bullying has been highlighted, but little is known about the role of   in adolescents' engagement in cyberaggression and cybervictimization. The aim of this  was to analyze the relationships of   (authoritative, indulgent, authoritarian, and neglectful) and cyberbullying (cybervictimization and cyberaggression) in adolescents,  considering sex and age. Participants were 2399 Spanish adolescents, 50.2% boys, aged between 12 and 18 years old (M-age = 14.69, SDage = 1.82). A multivariate analysis of variance (MANOVA, 4 x 2 x 2) was performed, with  , sex, and age (12-14 years and 15-18 years) as independent variables and cybervictimization and cyberaggression as criteria. Possible interaction effects were  analyzed. Results showed main effects of  , sex, and age, as well as an interaction effect between sex and  . Girls suffered more cybervictimization than boys, whereas boys performed higher levels of cyberaggression than girls. Results suggested that authoritarian   was a risk factor for cyberviolence. Girls from authoritarian families scored highest on cybervictimization. Boys from indulgent families were less involved in cybervictimization. These findings highlight the importance of establishing positive and open communication between s and adolescents. The implications are discussed."
"Relationship between Parenting Style, Alexithymia and Aggression in Emerging Adults",2020,"Alexithymia has been linked to reduced emotional awareness and increased aggression. One line of evidence suggests that authoritarian  contributes to the development of alexithymia. To elucidate the relationship between experienced  , alexithymia and aggression the al Authority Questionnaire, the Toronto Alexithymia Scale and the Buss-Perry Aggression Questionnaire were administered to a group of emerging adults. Current findings show a positive relationship between: (i) authoritarian   and alexithymia, (ii) alexithymia and aggression, iii) authoritarian   and aggression. This   found that paternal authoritarian  predicted alexithymia and aggression when controlling for maternal authoritarian , but not the other way round. In addition, alexithymia mediated the relationship between paternal authoritarian  and aggression when controlling for maternal authoritarian  suggesting that elevated alexithymia which is likely to be a consequence of authoritarian , especially when it is practiced by a father, contributes to increased aggression in adulthood."
Trajectories of delinquency and parenting styles,2008,"We investigated trajectories of adolescent delinquent development using data from the Pittsburgh Youth Study and examined the extent to which these different trajectories are differentially predicted by hood  . Based on self-reported and official delinquency seriousness, covering ages 10-19, we identified five distinct delinquency trajectories differing in both level and change in seriousness over time: a nondelinquent, minor persisting, moderate desisting, serious persisting, and serious desisting trajectory. More serious delinquents tended to more frequently engage in delinquency, and to report a higher proportion of theft. Proportionally, serious persistent delinquents were the most violent of all trajectory groups. Using cluster analysis we identified three  : authoritative, authoritarian (moderately supportive), and neglectful (punishing). Controlling for demographic characteristics and hood delinquency, neglectful  was more frequent in moderate desisters, serious persisters, and serious desisters, suggesting that   differentiate non- or minor delinquents from more serious delinquents."
THE INFLUENCES OF THE SIXTH GRADERS' PARENTS' INTERNET LITERACY AND PARENTING STYLE ON INTERNET PARENTING,2010,"This  aims to explore the sixth grade students' s' Internet literacy and   on Internet  in Kaohsiung County in Taiwan. Upon stratified cluster sampling, a total of 822 s from 34 classes in 28 schools participated in this . The descriptive statistics and chi-square test were used to analyze the responses of the Internet  questionnaire. The findings of this  include: (1) the current situations of the sixth grade students' s' behavior of Internet usage, Internet literacy,  , and Internet  are explored and analyzed, and (2) there are significant correlations among the students' s' behavior of Internet usage,  , Internet literacy, and Internet ."
Relationship Between Parenting Styles and Adolescents' Self-Esteem,2019,"Poor self-esteem among adolescents poses a great challenge, which   can influence. This  examined gender differences in perceived   and self-esteem of adolescents and examined the relationship between perceived   and adolescents' self-esteem among in-school adolescents in Ibadan, Oyo State, Nigeria. This  utilized a multistage sampling technique. Responses were elicited from 504 consenting pupils using the al authority questionnaire and a self-esteem questionnaire adjusted to the Rosenberg scale. Self-esteem was scored on a (12-30) scale; scores >= 26 indicate high self-esteem, and scores <= 25 indicate low self-esteem. The mean age and self-esteem score were 14.9 +/- 1.5 years and 24.0 +/- 3.3. About one third of respondents reported   as authoritative or flexible (fathers: 36.3%, mothers: 38.9%). Pearson correlation coefficient test showed a positive significant relationship between flexible   and adolescent self-esteem for fathers (r = 0.141, p = .001) and mothers (r = 0.137, p = .001). Research findings reveal significant association between perceived   and adolescents' self-esteem."
Parenting Styles in a Cultural Context: Observations of Protective Parenting in First-Generation Latinos,2009,"Current literature s four primary  : authoritative, authoritarian, permissive, and neglectful. These  provide an important shortcut for a constellation of  behaviors that have been characterized as consisting of warmth, demandingness, and autonomy granting. Empirically, only warmth and demandingness are typically measured. Research reporting on   in Latino samples has been equivocal leading to questions about conceptualization and measurement of   in this ethnic/cultural group. This lack of consensus may  from the chasm between concepts (e.g., authoritarian ) and observable  behaviors (e.g., warmth) in this ethnic group. The   aimed to examine   and dimensions in a sample of Latino s using the two usual dimensions (warmth, demandingness) and adding autonomy granting. Traditional   categories were examined, as well as additional categorizations that ed from adding autonomy granting. Fifty first-generation Latino s and their  (aged 4-9) participated. - interactions were coded with the  Style Observation Rating Scale (P-SOS). In this sample, the four traditional  categories did not capture Latino families well. The combination of characteristics ed in eight possible  . Our data showed the majority (61%) of Latino s as protective s. Further, while mothers and fathers were similar in their  , expectations were different for male and female . The additional dimensions and implications are discussed. The importance of considering the cultural context in understanding  in Latino families is emphasized, along with directions for future ."
Self-Compassion and Dispositional Mindfulness Are Associated with Parenting Styles and Parenting Stress: the Mediating Role of Mindful Parenting,2016,"Mindful  is a recent concept in  studies and has been described as a set of al practices or skills that seek to enhance moment-to-moment awareness in the - relationship. Some studies suggest that mindful  is associated with 's dispositional mindfulness and self-compassion, while others suggest that mindful  can reduce  stress and promote a positive . However, there is no  describing an integrative model with these variables. The   explored whether s' dispositional mindfulness and self-compassion are associated with  stress and   through mindful . A sample of 333 s (87 fathers, 246 mothers) between the ages of 27 and 63 years participated in the . The  revealed that higher levels of dispositional mindfulness and self-compassion are associated with higher levels of mindful  that, in turn, is associated with lower levels of  stress, higher levels of authoritative  , and lower levels of authoritarian and permissive  . This  provides relevant and innovative data on mindful   by clarifying some of the modifiable variables that may facilitate the adoption of mindful  and of adaptive   and decrease  stress. These findings have important clinical implications for the identification of groups of more vulnerable s who would benefit most from mindful  interventions."
"Parenting Style, Child Emotion Regulation and Behavioral Problems: The Moderating Role of Cultural Values in Australia and Indonesia",2020,"Research has shown that the congruence of   with cultural values, rather than   alone, impacts  adjustment. This  examined if s' cultural values moderate the relationships between   and  outcomes across both an individualist culture (Australia) and a collectivist culture (Indonesia). Three hundred and eighty-seven s of 2-10-year-old  from both countries reported their  , the importance of the collectivistic values (security, conformity, and tradition), and their 's emotion regulation and behavioral problems. In both countries, authoritative  was associated with higher  emotion regulation and lower levels of behavioral problems, and authoritarian  was associated with lower  emotion regulation and higher levels of behavioral problems. Although cultural values did not moderate the relationship between authoritarian  and  adjustment, in both countries greater importance placed on tradition attenuated the positive effect of authoritative  on  outcomes."
Relationships between adolescent behavioral autonomy and parenting styles,2005,Main purpose of the   was to investigate the relationships between adolescent behavioral autonomy development and  . A total of 758 adolescents between ages 12 to 20 participated in this . The Adolescent Autonomy Scale and The  Style Scale were used for collecting v data. Results indicated that all of the male and female age groups except early adolescent females. responsiveness dimension of   significantly predicted adolescents' behavioral autonomy. Furthermore. autonomy dimension of   significantly predicted early and middle adolescent females behavioral autonomy. Furthermore. adolescents who described their s as authoritative showed more behavioral autonomy than adolescents who described their s as autoritarian and permissive-indulgent: adolescents who described their s as permissive-indulgent showed more behavioral autonomy that adolescents who described their s as permissive-neglectful and autoritarian.
Personality and parenting style in parents of adolescents,2010,"Since al personality traits are assumed to play a role in  behaviors, the current  examined the relation between al personality and   among 688 Dutch s of adolescents in the SMILE . The  assessed Big Five personality traits and derived   (authoritative, authoritarian, indulgent, and uninvolved) from scores on the underlying dimensions of support and strict control. Regression analyses were used to determine which personality traits were associated with  dimensions and . As regards dimensions, the two aspects of personality reflecting interpersonal interactions (extraversion and agreeableness) were related to supportiveness. Emotional stability was associated with lower strict control. As regards  , extraverted, agreeable, and less emotionally stable individuals were most likely to be authoritative s. Conscientiousness and openness did not relate to general , but might be associated with more content-specific acts of . (C) 2009 The Association for Professionals in Services for Adolescents. Published by Elsevier Ltd. All rights reserved."
Parenting Stress and Quality of Life in Pediatric Obesity: The Mediating Role of Parenting Styles,2016,"Pediatric obesity is a serious health condition associated with lower psychosocial adjustment in /adolescents and their families. Mothers of /adolescents with obesity usually  higher levels of  stress, and investigation shows that the authoritarian and permissive   are more used by those mothers. However, little is known about the influence of al variables on /adolescent outcomes. This  intended to: (1) investigate differences in the quality of life (QoL) between /adolescents with obesity and healthy weight, (2) investigate differences between mothers regarding  stress and  , and (3) assess the mediating role of   in the relationship between  stress and the QoL of /adolescents with obesity. The sample comprised 223 /adolescents and their mothers (125 /adolescents with a healthy weight and 98 with obesity). Children/adolescents completed measures of QoL (KIDSCREEN-10) and mothers completed measures of  stress ( Stress Index) and   ( Styles and Dimensions Questionnaire). Mothers of /adolescents with obesity ed higher levels of  stress than mothers of /adolescents with healthy weight. Mothers of adolescents with obesity used more a permissive   than mothers of adolescents with healthy weight. Higher levels of  stress were associated with poorer QoL in /adolescents through the use of permissive  . This  emphasizes the connection between  stress,   and 's/adolescent's QoL, providing innovative input to the field by identifying mechanisms that might account for the link between family and  variables."
"Effectiveness of Positive Discipline Parenting Program on Parenting Style, and Child Adaptive Behavior",,"In this , a community sample of s attending free 7-week Positive Discipline  workshops were recruited, as well as a non-randomized community control. Both samples consisted of primarily Hispanic s with similar demographic information and attrition rates (initial N = 91), as well as  of similar age (mean age 6.89 and 6.95 years) and gender.  stress,  , and -reported  adaptive behavior were assessed at baseline and after three months. Longitudinal analysis was performed using mixed-effects regression modeling. Results indicate that attendance in Positive Discipline  workshops was related to a decrease in authoritarian  , a decrease in permissive  , and a decrease in al stress. It was  related to an increase in  academic competence, and a decrease in externalizing-hyperactive behavior (both -report). These  suggest that positive discipline  workshops may alter   and may positively impact  of s who attend."
Parenting style and bullying behavior in adolescents,2021,"Objective: The  aims to investigate the correlation between   and bullying behavior in adolescents at schools. Method: The  design was quantitative with a cross-sectional approach with a sample of 261 students selected with stratified random sampling and systematic random sampling. Data were collected using questionnaires  Style and Dimensions Questionnaire (PSDQ) and Adolescents Peer Relations Instrument (APRI). The data were analyzed using the Chi-Square difference test technique. Results: 261 adolescents were analyzed and reported as bully and victim (53.3%). The  of the  indicated a significant statistically correlation between   and bullying behavior in adolescents at school (p = 0.0001). Conclusions: Authoritarian  is related to bullying behavior as bullies, and permissive  is related to bullying behavior as a victim. This  focused on s and teachers to aware of the school bullying behavior. (C) 2021 Elsevier Espana, S.L.U. All rights reserved."
Parenting Style as a Moderator of the Association Between Parenting Behaviors and the Weight Status of Adolescents,2012,"Based on the contextual model of  , this  aimed to examine whether the associations between  behaviors and adolescents' dietary habits, physical activity, and weight status is moderated by  . A total of 1,869 -adolescent dyads were recruited in southern China. The adolescents' body mass index, dietary habits, physical activity,  ,  behaviors, and demographic information were collected. The  of this  suggest that   could moderate the relationship between adolescents' dietary habits, physical activity, weight status, and  behaviors. The positive relationship between  behavior of restricting access to unhealthy food and youth's sedentary behaviors and adolescents' dietary habits was alleviated as s' responsiveness increased. Furthermore, s' demandingness moderated the effects of food and physical activity monitoring on adolescents' physical activity and weight status."
