Author ,Title,Journal,Abstract,Year
"Blekic, Mirela; Carpenter, Rowanna; Cao, Yi",Continuing and Transfer s Exploring Retention and Second-Year Success,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This research examines factors that contribute to  of sophomore s. It builds a model to predict the likelihood of leaving the institution by third year and explores whether the concept of transfer receptivity can be used to explain differences in  between continuing and transfer sophomore s. Results indicate that financial variables and transfer status are the most important variables in sophomores' . Other  pre characteristics and experiences during  also display statistical significance in the model we built. Implications for theory and practice are presented, including a discussion of a  framework and transfer receptivity concept.",2020
"Stephenson, Amber L.; Yerger, David B.; Heckert, D. Alex",Recalibrating Our Understanding of Retention,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"In a study exploring how organizational identification impacted   and performance outcomes at a  in the United States, we found the mere act of taking the survey emerged as an unexpectedly strong result. Using propensity score matching, we found that those who took the voluntary survey during the first week of school were 6%, 9%, and 11% more likely to retain by the second, third, and fourth semesters, respectively. Participation in a short survey had notable  predictive power 18 months later. These results provoke a series of questions on  much more broadly considered and invite us to recalibrate our understanding of mechanisms for improving .",2020
"Kamer, Jacob A.; Ishitani, Terry T.","First-Year, Nontraditional  Retention at Four-Year Institutions: How Predictors of Attrition Vary Across Time",JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This study examined the longitudinal  behavior of first-time, nontraditionally aged s at four-year  by leveraging the 2004 to 2009 Beginning Postsecondary  data set. A human capital theory framework was employed to assess how  background characteristics, enrollment characteristics, and financial factors influence first-time, nontraditional   across multiple years of enrollment. The findings indicated that the highest risk of departure occurred during the first year of enrollment for nontraditional s who were first generation, enrolled full time, and from a low-income background. During the second year, s from a middle-income background were most at risk. Female s were most likely to depart in the third year, and minority s had the greatest risk of departure during the fourth year.",2021
"Loes, Chad N.; An, Brian P.; Saichaie, Kem; Pascarella, Ernest T.",Does Collaborative Learning Influence Persistence to the Second Year of College?,JOURNAL OF HIGHER EDUCATION,"The purpose of this study was to determine whether engaging in collaborative learning influences  to the 2nd year of  among 2,987  freshmen at 19 . Considering potential confounders such as sex, race, pre academic ability, type of institution attended,  coursework taken, academic motivation, and the clustered nature of the data, those s who engage in collaborative learning are significantly more likely than s who do not learn collaboratively to persist to the 2nd year of . The results of our analyses suggest the influence of collaborative learning on  affects s similarly, regardless of individual differences by sex, race, or tested pre academic ability. Lastly, the influence of collaborative learning on  appears to be mediated by peer interactions. That is, learning collaboratively leads to greater levels of positive peer interactions, which in turn is associated with greater odds of persisting to the 2nd year of .",2017
"Hlinka, Karen R.",Tailoring Retention Theories to Meet the Needs of Rural Appalachian Community College s,COMMUNITY COLLEGE REVIEW,": Traditional-age s attending a rural community  in Kentucky's Appalachian region were interviewed, along with faculty members and administrators, to identify phenomena serving as sources of encouragement or as barriers to  from the point of entry to the point of transfer. Method: s' perspectives were collected in a qualitative study and were analyzed using a theoretical foundation of Tinto's integration theory, enhanced with Kegan's cognitive development theory and Bourdieu's concepts of capital, habitus, and field. Results: Findings revealed three major factors affecting decision-making processes about : (a) community's and family's values of  provide the essential push to attend and complete , (b) s are challenged with overcoming the pull of family obligations, and (c) s struggle to make the cognitive leap necessary to master -level coursework. Contributions: The results emphasize the importance of each  investing resources to understand the specific needs of that institution's s, s shaped by their region's culture and other defining traits, and customizing  practices and programs to meet those unique needs. This study also adds to the limited research on  in Appalachian community s.",2017
"Eliasquevici, Marianne Kogut; da Rocha Seruffo, Marcos Cesar; Fernandes Resque, Sonia Nazare",Persistence in Distance Education: A Study Case Using Bayesian Network to Understand Retention,INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES,"This  presents a study on the variables promoting   in distance undergraduate courses at Federal University of Para, aiming to help school managers minimize  attrition and maximize  until graduation. The theoretical background is based on Rovai's Composite Model and the methodological approach is conditional probability analysis using the Bayesian Networks graphical model. Network modeling has shown that among internal factors after admission to the course (as defined in the Composite Model) face-to-face tutorial sessions need to be better planned and executed, learning materials are still not adequate to online course specificities and the support structure needs to be remodeled.",2017
"Boone, Shawn C.; De Charon, Linda; Hill, Marcia (Marty); Preiss, Amy; Ritter-Williams, Debbie; Young, Elizabeth",Doctoral student persistence and progression: a program assessment,JOURNAL OF APPLIED RESEARCH IN HIGHER EDUCATION,"Purpose Globally, traditional and online doctoral programs face difficulties with   and progression. An online doctoral school implemented a first-year program sequence taught by a cadre of 20 specialized faculty members who engage in best practices to assist s in persisting and progressing toward program completion. Design/methodology/approach This qualitative program assessment using content analysis examined the program effectiveness of one online doctoral program's first-year program sequence. Two research questions guided this program assessment, they were: RQ1. Based on online doctoral s' perspectives, what motivators contribute to online doctoral   and progression in an online doctoral program? RQ2. How do online faculty contribute to online doctoral   and progression? Data collection included myriad of program metrics: content area meetings (CAMs); closing the loop assessment data; faculty and  end of course survey data; and faculty and  semistructured interviews. Findings The resultant themes indicated that s are motivated by support from family, friends and religious beliefs; and s persist based on support from fellow doctoral s and faculty members. Additional themes revealed that faculty members motivate s through building faculty- relationships, individual coaching, providing  resources and through clarification of program requirements; and faculty members perceive that face-to-face doctoral residencies greatly contribute to   and progression through interpersonal interaction and through improved clarity. Originality/value Implications of this program assessment have far-reaching impact on how doctoral granting  can structure small cadres of faculty to develop interpersonal relationships with doctoral s with focus on support and development.",2020
"Denton, J. Michael",Queering College  Retention,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Retention literature and concepts warrant examination through the lens of queer theory, a poststructural body of thought about sexuality and gender, to understand their implications for queer s. Five themes found in the  literature are addressed from a queer perspective: framing  as an economic and labor problem; campus climate; the focus on programs, policies, and services; psychological traits; and positivistic approaches. Queering  involves deconstructing  binaries; problematizing the production of normative subjects through  theory; focusing on institutional transformation; and examining  as heteronormative domination. Queer failure and futurity are offered as possible new frames for . This essay seeks to raise questions, tensions, and complexities with no clear or simple solutions. Tentative and limited implications for practice and research are offered; however, they raise more questions than provide answers.",2020
"Crowe, Don R.",Retention of College s and Freshman-Year Music Ensemble Participation,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This study investigates the effects of music ensemble participation during the freshman fall semester on the ongoing  of  s. Retention of  s is a concern across the nation. The research question for the study was, Is there a correlation between participation in music ensembles during  s' freshman fall semester and the  of s for the sophomore, junior, senior, and (where applicable) fifth years? The study compares the  of s who enrolled in such ensembles at a midwestern  over a 4-year subsequent period with that of s who did not enroll. Data from Fall 2005 through Fall 2011 were collected and examined. Each freshman in each cohort (class) was assigned to one of two groups: those who enrolled in a music ensemble their first semester and those who did not. Enrollment data for each group for the following 4 years were analyzed to determine the incidence of  for the sophomore, junior, senior, and fifth years (as applicable) for each cohort and for class standing across cohorts. The data show that those who enrolled in music ensembles returned for the subsequent 3 years at a significantly greater rate than those who did not, and that the difference in  increased in each of these years.",2015
"Mamiseishvili, Ketevan",International student persistence in U.S. postsecondary institutions,HIGHER EDUCATION,"The study used the data from the Beginning Postsecondary s Longitudinal Study data set to observe the characteristics of international s in their first-year in  and examine the factors that influenced their  in U.S. postsecondary . Results from logistic regression analysis revealed that GPA, degree plans, and academic integration were positively related to  of international s, while remediation in English and social integration had the negative effects on their  outcome. The results of the study signal the importance of encouraging collaboration between offices of international  services and other academic departments or support services on campus. The  of international s should not be viewed as the responsibility of only international  advisors. Instead, it should become a joint responsibility of faculty, academic advisors, English language program staff, and  affairs professionals on campus.",2012
"Kimbark, Kris; Peters, Michelle L.; Richardson, Tim","Effectiveness of the  Success Course on Persistence, Retention, Academic Achievement, and  Engagement",COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE,"Despite a great increase in the numbers of s enrolling in , specifically at community s, the successful completion rates for these s has remained static since the 1970s. When reviewing strategies to increase   and successful completion, the  Success Course (SSC) has emerged as a promising and prominent strategy for community s. Given that, the purpose of this sequential mixed methods study was to determine if participation in a SSC influences , , academic achievement, and  engagement on a community  campus. Data were collected from a purposeful sample of 197 SSC participants at a middle sized community  in southeast Texas and compared to a matched sample of 235 non-SSC participants. Twelve former SSC participants were also interviewed in an attempt to build a more empirical understanding of the impact of the SSC on  engagement and, thus, the s' decisions to remain in . Results of this study indicate that a relationship exists between participation in the SSC and , , academic achievement in English and mathematics, and  engagement. Additionally, participants claim that taking the SSC not only altered their perceptions of the importance of the course, but their social and study skills as well.",2017
"Lehan, Tara J.; Hussey, Heather D.; Shriner, Michael",The influence of academic coaching on persistence in online graduate students,MENTORING & TUTORING,"Scholarly attention to academic learning centers is warranted, as they lack a consistent identity and, consequently, little is known about their effect on meaningful  outcomes. Further, such investigations are warranted in online , given the greater  needs and dropout rates. The aim of this study was to investigate the relationship between the receipt of academic coaching at an online learning center and  in online graduate s using a matched sample and after controlling for demographic and academic variables. After holding months since enrollment and Grade Point Average (GPA) at follow-up constant, visiting the learning center increased the odds of  2.66 times. Compared to s in the matched sample, s who visited the learning center even once were significantly more likely to persist at follow-up. Convergence and divergence of the findings with the scholarly literature is examined with a particular focus on the unique population of online graduate s.",2018
"Legg, Kaitlin; Cofino, Andy; Sanlo, Ronni","Lesbian, Gay, Bisexual, and Transgender College s: Revisiting Retention",JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"In 2004, Sanlo published a proposed method to examine the lives and experiences of lesbian, gay, and bisexual  s and their  to graduation. Transgender s were not included except with regard to their identifying as a sexual minority. To date, neither further s nor research of a similar nature have been published. Even with heightened visibility of lesbian, gay, bisexual, and transgender s on  campuses, the literature still does not capture the specific and unique experiences of health, scholarship, and  of this population. These scholar-practitioner authors share their various experiences as directors of lesbian, gay, bisexual and transgender, and queer (LGBTQ) centers and why  studies of the LGBTQ population are necessary as well as why transgender or gender-nonconforming s must also be included in such studies.",2020
"Xu, Yonghong Jade; Webber, Karen L.",College  Retention on a Racially Diverse Campus: A Theoretically Guided Reality Check,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Theoretically grounded in Tinto's model of  and Braxton and colleagues' revisions , this study is designed to examine the applicability of the integration model to s of different racial backgrounds. Results from a sample of full-time undergraduate s at a research-extensive  suggest that (a) academic and social integrations function differently to the  of Black and White s, (b) financial pressure was the most consistent impediment to   for all s, and (c) institutional control over academic quality is critical to  . In addition, results show that s of different racial backgrounds do not differ significantly in their reported intention to drop out. Implications for policy and planning are discussed.",2018
"Flanders, Gordon R.",The Effect of Gateway Course Completion on Freshman College  Retention,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"This study measured the rate of  to the second semester among first-time, full-time freshman  s who attempted a gateway course within their declared major during their first semester of  compared with s who declared a major, completed a course, but not the gateway course in their major and s who did not declare a major and completed any course. The findings in this study suggest that first-time, full-time freshman s who declared a major and successfully completed the gateway course were more likely to persist than s who were unsuccessful with the gateway course or s who declared a major, completed a course, but not the gateway course in their major. To improve  of first-time, full-time freshman s, the results of this study indicate that changes are warranted in the way s are advised with regard to which courses they should complete in their first semester of .",2017
"Vnouckova, Lucie; Linhart, Zdenek",INDICES CONVERTING RESIGNATION AND DROP-OFFS OF BUSINESS STUDENTS TO RETENTION,JOURNAL ON EFFICIENCY AND RESPONSIBILITY IN EDUCATION AND SCIENCE,"Each new generation brings a challenge to employers,  management and teachers with new attitudes affecting their continuous matriculation and degree completion. This  discusses how to retain both business and institutional career-oriented s using real-time communication based on their attitudes, emotions resulting from logically generated synonyms by automatic data evaluation by the information system. The objective of this  is to identify these s early in their academic studies and to assess their likelihood for continuous matriculation and ultimately increase  rates. Using data from entry questionnaire during application at , based on their attitudinal expectation, s were categorised into groups that affected their continuous matriculation. Data used in this study were gathered by compulsory entry questionnaire of 535 s in the academic year 2017-2018. Using statistical and dimensional analysis, four groups were identified among  applicants: Proactive, Reactive, Lazy and Institutional. Responses were tested according to Complementary Distribution Function (CDF) and normal distribution as Probabilistic Distribution Function (PDF). Antagonist attitudes were found for answers corresponding to PDF and CDF. Results indicate that business and institutionally oriented s should be separated and treated individually to increase .",2020
"Walsh, Kelsey J.; Kurpius, Sharon E. Robinson","Parental, Residential, and Self-Belief Factors Influencing Academic Persistence Decisions of College Freshmen",JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Based on Tinto's model of academic , this study explored background and personal factors that theoretically impact the academic  decisions of  freshmen. The factors studied were (a) parental al attainment, (b) parental valuing of , (c) high school grade point average, (d) residential status (on-vs. off-campus), (e) personal valuing of , (f) perceived academic preparation, (g) academic self-expectancy, (h) al self-efficacy, and (i) selfesteem. The study sample consisted of 378 (135 male and 243 female) freshmen who were 18 and 19 years old. Hierarchical regression analyses revealed that more positive academic  decisions were predicted by residential status (living on-campus) and self-beliefs, specifically greater al self-efficacy, self-esteem, and personal valuing of . These findings suggest that researchers, counselors, and  policy makers consider residential status as well as s' beliefs about themselves when making decisions related to increasing  of  freshmen.",2016
"Troester-Trate, Katy Elizabeth","Food Insecurity, Inadequate Childcare, & Transportation Disadvantage:  Retention and Persistence of Community College s",COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE,"As   enrollment patterns have changed, so too has the focus for institutional administrators. College s have been shown to be retained at  rates when they are engaged in supportive services on campus. The Jefferson Community School program was designed to meet the non-academic needs of the community   population of a rural campus in Northern New York. This program included food pantry, transportation, and childcare services at no cost to enrolled s. The purpose of this study was to determine the relationship between use of non-academic services and  and  rates of community  s (n = 90). A quantitative, quasi-experimental research method approach was used to compare matched samples of s who participated in the Jefferson Community Schools program and s who did not participate in the Jefferson Community Schools program. Each sample consisted of 45 s who were matched on enrolled credit hours, age, gender and Pell status. An ANOVA statistical test was conducted to compare the matched sample groups. Results showed that 30 out of 45 s in the Jefferson Community Schools program were retained and 41 out of 45 persisted. This was compared to  of 30 out of 45 and  of 42 out of 45 of the matched non participatory sample. The results of this study suggest that providing non-academic resources to low-income s may serve to equalize the chances of being retained or persisting when compared to peers that have more resources of their own (p < .05).",2020
"Ishitani, Terry T.",Time-Varying Effects of Academic and Social Integration on  Persistence for First and Second Years in College: National Data Approach,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"While a myriad of studies focused on the first-year  , less known is what happens to s during their second year in . Coupled with the most recent national data, this study investigated the effects of  and institutional characteristics on first- and second-year   behavior. In particular, this study examined time-varying effects of certain factors, such as academic and social integration on  . The study data included 7,571 first-time freshman s enrolled in public and private 4-year . Using multilevel logistic regression, study findings suggest that academic integration was only effective to retaining s for the first year and was ineffective to promote second-year  .",2016
"Elder, Adam C.","Holistic factors related to student persistence at a large, public university",JOURNAL OF FURTHER AND HIGHER EDUCATION,"Research has thoroughly examined various factors that are related to   . Studies suggest that a multitude of characteristics are predictive of  success, and theory supports examining these characteristics at the institutional level. However, few studies utilise robust, single-institution samples using a holistic framework. The purpose of this study was to use a comprehensive framework to examine academic, psychosocial, noncognitive, and other background factors that are related to  at one large, public four-year institution in the southeastern United States. Data for 12,342 s were drawn from multiple sources, and hierarchical generalised linear models were used to identify important predictors of  both before beginning  and after the first semester. Findings from the study showed that a variety of pre- factors such as high school performance, institutional fit, and financial scholarships were significant predictors of  both before and after the first semester. Notably, these important variables were distributed across the categories of the comprehensive framework. Results also revealed moderated relationships between several variables with factors such as ethnicity and first-generation status. The results of this study have important implications for   policymakers, administrators, and researchers in terms of variable selection and measurement in predictive  models for beginning  s.",2021
"Lee, Youngju; Choi, Jaeho",A structural equation model of predictors of online learning retention,INTERNET AND HIGHER EDUCATION,"This study examined the effects of internal academic locus of control (ALOC), learning strategies, flow experience, and  satisfaction on   in online learning courses. A total number of 282 adult s at the Korea National Open University participated in the study by completing an online survey adopted from previous studies to measure the levels of five variables: internal ALOC, use of learning strategies, flow experience, satisfaction, and . We employed a structural equation model (SEM) to test our conceptual model using AMOS 18.0. The research findings indicate that there were significant direct effects between internal ALOC and , between satisfaction and , between internal ALOC and satisfaction, between flow and satisfaction, and between learning strategies and flow. Moreover, we noted the significant mediating effects of  satisfaction and s' experience of flow on their  in the model. (C) 2012 Elsevier Inc. All rights reserved.",2013
"Luciano-Wong, Shaila; Crowe, Dale",Persistence and engagement among first-year Hispanic students,JOURNAL FOR MULTICULTURAL EDUCATION,"Purpose - The purpose of this paper is to examine the association between engagement indicators and intent to persist of first-year full-time Hispanic s attending public versus private universities. Design/methodology/approach - Metadata from the Your First College Year survey from the Higher Education Research Institute (HERI) were selected for this study. The approach included using a descriptive correlational design and regression analysis to examine the relationship between engagement indicators and  among first-year, full-time Hispanic s and . Purposeful sampling obtained from the HERI data set resulted in a sample size of 1,206 s who attended public  and 1,187 s who attended private . Findings - Analysis of the results disclosed a positive correlation between first-year Hispanic s' intent to persist, satisfaction with peer interactions, amount of contact with faculty, first-year programs and sense of belonging. The results of the analysis disclosed differences between public and private . Of the collective variables, satisfaction with amount of contact with faculty and sense of belonging are significant predictors of . Research limitations/implications - The sample of the study was limited to the use of archival data and the responses to specific questions obtained from the 2014 YFCY survey. Factors such as insufficient experience at the  s are attending, unwillingness to provide honest feedback and exaggerating specific areas of their behavior or performance may affect s who respond to surveys (Kuh, 2004), affecting the accuracy of the data. Further, 89.7 per cent of the variance in  has not been explained. Adding or using different variables and utilizing a more advanced statistical technique may account for additional variance. Cause and effect cannot be determined from correlational analysis, and the possibility exists that an unknown variable may be the cause of a correlation within the study. Incomplete information from predictors, complete separation and overdispersion can lead to SPSS output errors for logistic regression analysis. Social implications - It is important for   administrators to understand the cultural differences of not only Hispanic s but other ethnic and racial groups. As a global society, public and private    are looking for more inclusion of multi-cultural s. Recruitment is obviously important, but to recruit is not enough. It is the responsibility of   administrators to do all that is reasonably possible to retain s through graduation. Originality/value - Studies have been conducted on academic disparities between Hispanic s and their White counterparts, but few studies exist on the factors associated to  among the first-year Hispanic  population. The results of this study may add to the existing body of knowledge and assist with faculty development of programs, decisions on class size, improvements to pedagogy and discussions to improve the campus climate for Hispanic s. Using the resources of HERI, future studies can be conducted involving other races and ethnicities.",2019
"Nichols, Mark", perceptions of support services and the influence of targeted interventions on retention in distance education,DISTANCE EDUCATION,"To improve   in distance , Simpson suggested in 2003 that  analyse their own  characteristics and 'spot the leaks.' In 2008 the Centre for Distance Learning at Laidlaw College, New Zealand, employed two part-time academic support coordinators in an effort to improve   and success. This study compares the  statistics for first-time  outcomes across two semesters, one without and one with specific course  interventions. Results are benchmarked across national data. Interviews with s who were retained revealed that s frequently attribute their success to their own efforts.  support services in distance  might therefore be perceived by its beneficiaries as a 'hygiene' factor (Herzberg, 1968, 2008) in that their presence is not generally appreciated by s. However, their absence is noticed. The similarity of this finding with Shin's institutional transactional presence (2002, 2003) is also explored.",2010
"Zembrodt, Isabella",Commitment: Predicting Persistence for Low-SES s,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"s with low socioeconomic status (SES) are more likely to leave  without a degree than s with high SES, although there are fewer low-SES s who persist to graduation. The most likely time for s to leave the University is after the first year. The purpose of this qualitative study of low-SES s, both retained and not retained, is to understand their first-year experience and the factors that led to the decision to persist or not. Unlike previous research, neither satisfaction nor obstacles such as finances, academic preparation, or social integration differentiated between s who persisted or not. The difference between those who persisted and those who did not was commitment as defined by the investment model. The committed s believed  was an investment in their future, and their future without a  degree was not an attractive alternative. They were motivated to persist.",2021
"Leppel, K",The impact of major on college persistence among freshmen,HIGHER EDUCATION,"Using national-level data and a two-step procedure combining least squares regression and logit analysis, this paper examines the impact of majors on   among freshmen. Holding other variables constant, women with business majors and undecided majors are less likely to persist than other women. Women with health majors are most likely to persist. Men with  majors and undecided majors are less likely to persist than other men. Men with business majors are slightly more likely to persist than other men. Differences in  rates are explained by differences in the relative magnitudes of goal-commitment, subject-interest, social-forces, and self-image effects. Some policy recommendations are provided.",2001
