Title,Journal,Abstract
Exploring a New Simulation Approach to Improve Clinical Reasoning Teaching and Assessment: Randomized Trial Protocol,JMIR RESEARCH PROTOCOLS,"Background: Helping trainees develop appropriate clinical reasoning abilities is a challenging goal in an environment where clinical situations are marked by high levels of complexity and unpredictability. The benefit of simulation-based education to assess clinical reasoning skills has rarely been reported. More specifically, it is unclear if clinical reasoning is better acquired if the instructor's input occurs entirely after or is integrated during the scenario. Based on educational principles of the dual-process theory of clinical reasoning, a new simulation approach called simulation with iterative discussions (SID) is introduced. The instructor interrupts the flow of the scenario at three key moments of the reasoning process (data gathering, integration, and confirmation). After each stop, the scenario is continued where it was interrupted. Finally, a brief general debriefing ends the session. System-1 process of clinical reasoning is assessed by verbalization during management of the case, and System-2 during the iterative discussions without providing feedback. Objective: The aim of this study is to evaluate the effectiveness of Simulation with Iterative Discussions versus the classical approach of simulation in developing reasoning skills of General Pediatrics and Neonatal-Perinatal Medicine residents. Methods: This will be a prospective exploratory, randomized study conducted at Sainte-Justine hospital in Montreal, Qc, between January and March 2016. All post-graduate year (PGY) 1 to 6 residents will be invited to complete one SID or classical simulation 30 minutes audio video-recorded complex high-fidelity simulations covering a similar neonatology topic. Pre- and post-simulation questionnaires will be completed and a semistructured interview will be conducted after each simulation. Data analyses will use SPSS and NVivo softwares. Results: This study is in its preliminary stages and the results are expected to be made available by April, 2016. Conclusions: This will be the first study to explore a new simulation approach designed to enhance clinical reasoning. By assessing more closely reasoning processes throughout a simulation session, we believe that Simulation with Iterative Discussions will be an interesting and more effective approach for students. The findings of the study will benefit medical educators, education programs, and medical students."
Development and psychometric testing of a Clinical Reasoning Evaluation Simulation Tool (CREST) for assessing nursing students' abilities to recognize and respond to clinical deterioration,NURSE EDUCATION TODAY,"Bacicground: The development of clinical reasoning skills in recognising and responding to clinical deterioration is essential in pre-registration nursing education. Simulation has been increasingly used by educators to develop this skill. Objective: To develop and evaluate the psychometric properties of a Clinical Reasoning Evaluation Simulation Tool (CREST) for measuring clinical reasoning skills in recognising and responding to clinical deterioration in a simulated environment. Design A scale development with psychometric testing and mixed methods study. Participants/Settings: Nursing students and academic staff were recruited at a university. Method: A three-phase prospective study was conducted. Phase 1 involved the development and content validation of the CREST; Phase 2 included the psychometric testing of the tool with 15 second-year and 15 third-year nursing students who undertook the simulation-based assessment; Phase 3 involved the usability testing of the tool with nine academic staff through a survey questionnaire and focus group discussion. Results: A 10-item CREST was developed based on a model of clinical reasoning. A content validity of 0.93 was obtained from the validation of 15 international experts. The construct validity was supported as the third-year students demonstrated significantly higher (p < 0.001) clinical reasoning scores than the second-year students. The concurrent validity was also supported with significant positive correlations between global rating scores and almost all subscale scores, and the total scores. The predictive validity was supported with an existing tool. The internal consistency was high with a Cronbach's alpha of 0.92. A high inter-rater reliability was demonstrated with an intraclass correlation coefficient of 0.88. The usability of the tool was rated positively by the nurse educators but the need to ease the scoring process was highlighted. Conclusions: A valid and reliable tool was developed to measure the effectiveness of simulation in developing clinical reasoning skills for recognising and responding to clinical deterioration."
The Effects of Computer-Based Simulation Game and Virtual Reality Simulation in Nursing Students' Self-evaluated Clinical Reasoning Skills,CIN-COMPUTERS INFORMATICS NURSING,"Research has shown that nursing students can learn clinical reasoning skills by engaging in simulation games. However, there has been no research regarding the effects of simulation games on clinical reasoning skills when nursing students also engage in virtual reality simulations. Furthermore, by engaging in simulation games, neither game metrics nor their impact on students' self-evaluated clinical reasoning skills has been studied. The purpose of this study was to evaluate the effects of these two kinds of simulation games using a one-group pretest-posttest design. Forty nursing students self-evaluated their clinical reasoning skills in three phases using the Clinical Reasoning Skills scale. Furthermore, the game metrics of the simulation games were analyzed, and the results clearly showed that students' self-evaluated clinical reasoning skills were systematically improved. There was a systematic association between better playing scores and better self-evaluated clinical reasoning skills in playing both kinds of simulation games. Moreover, students engaged more time in the virtual reality simulation than the computer-based simulation game. Overall, the results suggest that the use of a combination of both kinds of simulation games is an effective way for nursing students to learn clinical reasoning skills."
Using Virtual Patients to Explore the Clinical Reasoning Skills of Medical Students: Mixed Methods Study,JOURNAL OF MEDICAL INTERNET RESEARCH,"Background: Improving clinical reasoning skills-the thought processes used by clinicians to formulate appropriate questions and diagnoses-is essential for reducing missed diagnostic opportunities. The electronic Clinical Reasoning Educational Simulation Tool (eCREST) was developed to improve the clinical reasoning of future physicians. A feasibility trial demonstrated acceptability and potential impacts; however, the processes by which students gathered data were unknown. Objective: This study aims to identify the data gathering patterns of final year medical students while using eCREST and how eCREST influences the patterns. Methods: A mixed methods design was used. A trial of eCREST across 3 UK medical schools (N=148) measured the potential effects of eCREST on data gathering. A qualitative think-aloud and semistructured interview study with 16 medical students from one medical school identified 3 data gathering strategies: Thorough, Focused, and Succinct. Some had no strategy. Reanalysis of the trial data identified the prevalence of data gathering patterns and compared patterns between the intervention and control groups. Patterns were identified based on 2 variables that were measured in a patient case 1 month after the intervention: the proportion of Essential information students identified and the proportion of irrelevant information gathered (Relevant). Those who scored in the top 3 quartiles for Essential but in the lowest quartile for Relevant displayed a Thorough pattern. Those who scored in the top 3 quartiles for Relevant but in the lowest quartile for Essential displayed a Succinct pattern. Those who scored in the top 3 quartiles on both variables displayed a Focused pattern. Those whose scores were in the lowest quartile on both variables displayed a Nonspecific pattern. Results: The trial results indicated that students in the intervention group were more thorough than those in the control groups when gathering data. The qualitative data identified data gathering strategies and the mechanisms by which eCREST influenced data gathering. Students reported that eCREST promoted thoroughness by prompting them to continuously reflect and allowing them to practice managing uncertainty. However, some found eCREST to be less useful, and they randomly gathered information. Reanalysis of the trial data revealed that the intervention group was significantly more likely to display a Thorough data gathering pattern than controls (21/78, 27% vs 6/70, 9%) and less likely to display a Succinct pattern (13/78, 17% vs 20/70, 29%; chi(2)(3)=9.9; P=.02). Other patterns were similar across groups. Conclusions: Qualitative data suggested that students applied a range of data gathering strategies while using eCREST and that eCREST encouraged thoroughness by continuously prompting the students to reflect and manage their uncertainty. Trial data suggested that eCREST led students to demonstrate more Thorough data gathering patterns. Virtual patients that encourage thoroughness could help future physicians avoid missed diagnostic opportunities and enhance the delivery of clinical reasoning teaching."
Effect of Paper- and Computer-based Simulated Instructions on Clinical Reasoning Skills of Undergraduate Medical Students: A Randomized Control Trial,CUREUS,"Background and objectives Skilled clinical reasoning is a critical tool for physicians. Educators agree that this skill should be formally taught and assessed. Objectives related to the mastery of clinical reasoning skills appear in the documentation of most medical schools and licensing bodies. We conducted this study to assess the differences in clinical reasoning skills in medical students following paper-and computer-based simulated instructions. Materials and methods A total of 52 sixth semester medical students of the Dow University of Health Sciences were included in this study. A tutorial was delivered to all students on clinical reasoning and its importance in clinical practice. Students were divided randomly into two groups: group A received paper-based instructions while group B received computer-based instructions (as Flash-based scenarios developed with Articulate Storyline software [https://articulate.com/p/storyline-3]) focused on clinical reasoning skills in history-taking of acute and chronic upper abdominal pain. After one week, both groups were tested at two objective structured clinical examination (OSCE) stations to assess acute and chronic pain history-taking skills in relation to clinical reasoning. Results There were 27 students in group A and 25 students in group B. The mean OSCE score for group A (paper-based) was 28.6 +/- 9.4 and that for group B (computer-based) was 38.5 +/- 6.0. Group B's mean score was statistically significantly greater (p < 0.001) than group A's mean score for clinical reasoning skills. Conclusion A computer simulation program can enhance clinical reasoning skills. This technology could be used to acquaint students with real-life experiences and identify potential areas for more training before facing real patients."
Do medical students' scores using different assessment instruments predict their scores in clinical reasoning using a computer-based simulation?,ADVANCES IN MEDICAL EDUCATION AND PRACTICE,"Purpose: The development of clinical problem-solving skills evolves over time and requires structured training and background knowledge. Computer-based case simulations (CCS) have been used for teaching and assessment of clinical reasoning skills. However, previous studies examining the psychometric properties of CCS as an assessment tool have been controversial. Furthermore, studies reporting the integration of CCS into problem-based medical curricula have been limited. Methods: This study examined the psychometric properties of using CCS software (DxR Clinician) for assessment of medical students (n=130) studying in a problem-based, integrated multisystem module (Unit IX) during the academic year 2011-2012. Internal consistency reliability of CCS scores was calculated using Cronbach's alpha statistics. The relationships between students' scores in CCS components (clinical reasoning, diagnostic performance, and patient management) and their scores in other examination tools at the end of the unit including multiple-choice questions, short-answer questions, objective structured clinical examination (OSCE), and real patient encounters were analyzed using stepwise hierarchical linear regression. Results: Internal consistency reliability of CCS scores was high (alpha=0.862). Inter-item correlations between students' scores in different CCS components and their scores in CCS and other test items were statistically significant. Regression analysis indicated that OSCE scores predicted 32.7% and 35.1% of the variance in clinical reasoning and patient management scores, respectively (P < 0.01). Multiple-choice question scores, however, predicted only 15.4% of the variance in diagnostic performance scores (P < 0.01), while students' scores in real patient encounters did not predict any of the CCS scores. Conclusion: Students' scores in OSCE are the most important predictors of their scores in clinical reasoning and patient management using CCS. However, real patient encounter assessment does not appear to test a construct similar to what is tested in CCS."
The impact of simulation-based triage education on nursing students' self-reported clinical reasoning ability: A quasi-experimental study,NURSE EDUCATION IN PRACTICE,"Few studies have comprehensively examined the effectiveness of simulation-based triage education on clinical reasoning of nursing students. This study evaluated the impact of a simulation-based triage exercise on nursing students' self-reported clinical reasoning ability. Three cohorts of third-year nursing students were divided into intervention group a (IG a, n = 62), intervention group b (IG b, n = 57), and a control group (CG, n = 53). Students in IG a and IG b participated in a simulation-based triage education consisting of 2 h of multiple patient triage simulations and an hour of structured debriefing. The CG participated in a traditional didactic triage course consisting of a 3-h lecture. Self-reported clinical reasoning ability in pre and post-triage education was measured by the Nurses Clinical Reasoning Scale. There was no significant difference in mean clinical reasoning ability scores between the three groups in pre-test (p > 0.05). Clinical reasoning ability scores in post-test among students in IG a and IG b were significantly higher than those in CG (p < 0.001). Nursing students exposed to a simulation-based triage education had more improvement in self-reported clinical reasoning ability as compared with students who participated in a lecture-based triage education program."
Medical Students' Clinical Reasoning During a Simulated Viral Pandemic: Evidence of Cognitive Integration and Insights on Novices' Approach to Diagnostic Reasoning,MEDICAL SCIENCE EDUCATOR,"IntroductionCognitive integration from multiple disciplines is essential to clinical problem-solving. Because it is not directly observable, demonstrating evidence of learners' cognitive integration remains a challenge. In addition, little is known about preclinical medical students' approach to diagnostic reasoning despite widespread implementation of clinical reasoning curricula for these early learners. The objectives of this study were to characterize how first-year medical students integrated knowledge to problem-solve during a simulated viral pandemic and to characterize students' diagnostic reasoning approach to this clinical scenario.Materials and MethodsStudent teams analyzed clinical data to formulate hypotheses for the pandemic's source and submitted reports justifying their hypotheses and treatment recommendations. A content analysis on students' reports identified codes and themes characterizing the learning content integrated and students' approaches to diagnostic reasoning tasks.ResultsSixteen problem-solving codes were identified, demonstrating integration of new and previously encountered content from multiple disciplines. A compare-contrast analytical approach was the most commonly employed diagnostic reasoning approach (100%), with a smaller subset of teams also using a causal approach (20%).DiscussionContent analysis of preclinical students' diagnostic justification tasks provided insights into their approach to diagnostic reasoning, which was most consistent with the search-inference framework rather than a causal approach, likely due to limited pathophysiological knowledge at that point in training.ConclusionsEvidence of cognitive integration can be made explicit through learners' narrative justification of diagnostic reasoning tasks. Preclinical students' diagnostic reasoning development has implications for curricular design and implementation for this learner group."
A Bayesian perspective on constructing a written assessment of probabilistic clinical reasoning in experienced clinicians,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,"RationaleDecision-making performance assessments have proven problematic for assessing clinical reasoning. Aims and ObjectivesA Bayesian approach to designing an advanced clinical reasoning assessment is well grounded in mathematical and cognitive theory and may offer significant psychometric advantages. Probabilistic logic plays an important role in medical problem solving, and performances on Bayesian-type tasks appear to be causally-related to the ability to make sound clinical decisions. MethodsA validity argument is used to guide the design of an assessment of medical reasoning using clinical probabilities. Results/ConclusionsThe practical advantage of using a Bayesian approach to item design relates to the fact that probability theory provides a rationally optimal method for managing uncertain information and provides the criteria for objective correct answer scoring. Potential item formats are discussed."
Clinical reasoning of nursing students on clinical placement: Clinical educators' perceptions,NURSE EDUCATION IN PRACTICE,"Graduate nurses may have knowledge and adequate clinical psychomotor skills however they have been identified as lacking the clinical reasoning skills to deliver safe, effective care suggesting contemporary educational approaches do not always facilitate the development of nursing students' clinical reasoning. While nursing literature explicates the concept of clinical reasoning and develops models that demonstrate clinical reasoning, there is very little published about nursing students and clinical reasoning during clinical placements. Semi-structured interviews were conducted with ten clinical educators to gain an understanding of how they recognised, developed and appraised nursing students' clinical reasoning while on clinical placement. This study found variability in the clinical educators' conceptualisation, recognition, and facilitation of students' clinical reasoning. Although most of the clinical educators conceptualised clinical reasoning as a process those who did not demonstrated the greatest variability in the recognition and facilitation of students' clinical reasoning. The clinical educators in this study also described being unable to adequately appraise a student's clinical reasoning during clinical placement with the use of the current performance assessment tool. (C) 2016 Elsevier Ltd. All rights reserved."
First-year medical students' calibration bias and accuracy across clinical reasoning activities,ADVANCES IN HEALTH SCIENCES EDUCATION,"To be safe and effective practitioners and learners, medical professionals must be able to accurately assess their own performance to know when they need additional help. This study explored the metacognitive judgments of 157 first-year medical students; in particular, the study examined students' self-assessments or calibration as they engaged in a virtual-patient simulation targeting clinical reasoning practices. Examining two key subtasks of a patient encounter, history (Hx) and physical exam (PE), the authors assessed the level of variation in students' behavioral performance (i.e., effectiveness and efficiency) and judgments of performance (i.e., calibration bias and accuracy) across the two subtasks. Paired t tests revealed that the Hx subtask was deemed to be more challenging than the PE subtask when viewed in terms of both actual and perceived performance. In addition to students performing worse on the Hx subtask than PE, they also perceived that they performed less well for Hx. Interestingly, across both subtasks, the majority of participants overestimated their performance (98% of participants for Hx and 95% for PE). Correlation analyses revealed that the participants' overall level of accuracy in metacognitive judgments was moderately stable across the Hx and PE subtasks. Taken together, findings underscore the importance of assessing medical students' metacognitive judgments at different points during a clinical encounter."
Transfer of Clinical Reasoning Trained With a Serious Game to Comparable Clinical Problems A Prospective Randomized Study,SIMULATION IN HEALTHCARE-JOURNAL OF THE SOCIETY FOR SIMULATION IN HEALTHCARE,"Introduction Serious Games can be used effectively for clinical reasoning training in medical education. Case specificity of learning outcome elicited by Serious Games has not been studied in detail. This study investigated whether learning outcome elicited by repeated exposure to virtual patient cases is transferable to other cases addressing similar problems. Methods In this monocentric, prospective, randomized trial, 69 fifth-year medical students participated in ten 90-minute sessions of using a computer-based emergency ward simulation game. Students were randomized to 3 groups (A, B, AB) and subsequently exposed to up to 46 different virtual patients. Group A was presented with 2 specific cases that were not shown in group B and vice versa. Group AB was exposed to all 4 specific cases. After 6 weeks of using the game as a learning resource, students were presented with 4 cases addressing similar problems. For each case, an aggregate score reflecting clinical reasoning was calculated, and performance was compared across groups. Results In the final session, there were no significant between-group differences regarding the sum score reflecting aggregated performance in all 4 cases (A: 66.5 +/- 7.2% vs. B: 61.9 +/- 12.4% vs. AB: 64.8 +/- 11.1%, P = 0.399). An item-by-item analysis revealed that there were no between-group differences regarding correct therapeutic interventions. Conclusions Previous exposure had limited impact on subsequent performance in similar cases. This study suggests that case specificity of learning outcome elicited by the serious game is low and that acquired higher-order cognitive functions may transfer to similar virtual patients."
Evaluating the Clinical Reasoning of Student Health Professionals in Placement and Simulation Settings: A Systematic Review,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"(1) Background: Clinical reasoning is essential to the effective practice of autonomous health professionals and is, therefore, an essential capability to develop as students. This review aimed to systematically identify the tools available to health professional educators to evaluate students' attainment of clinical reasoning capabilities in clinical placement and simulation settings. (2) Methods: A systemic review of seven databases was undertaken. Peer-reviewed, English-language publications reporting studies that developed or tested relevant tools were included. Searches included multiple terms related to clinical reasoning and health disciplines. Data regarding each tool's conceptual basis and evaluated constructs were systematically extracted and analysed. (3) Results: Most of the 61 included papers evaluated students in medical and nursing disciplines, and over half reported on the Script Concordance Test or Lasater Clinical Judgement Rubric. A number of conceptual frameworks were referenced, though many papers did not reference any framework. (4) Conclusions: Overall, key outcomes highlighted an emphasis on diagnostic reasoning, as opposed to management reasoning. Tools were predominantly aligned with individual health disciplines and with limited cross-referencing within the field. Future research into clinical reasoning evaluation tools should build on and refer to existing approaches and consider contributions across professional disciplinary divides."
